DateTime,Attack Method,Epsilon/Confidence,PSNR,SSIM,Model Loss
12/1/2023 18:11,Clean,0.0,35.03,0.936,MSE
12/1/2023 18:24,FGSM,0.01,34.372,0.924,MSE
12/1/2023 18:38,FGSM,0.03,32.91,0.894,MSE
12/1/2023 18:51,FGSM,0.05,31.452,0.835,MSE
12/1/2023 19:04,FGSM,0.07,30.063,0.771,MSE
12/1/2023 19:18,FGSM,0.09,28.787,0.721,MSE
12/1/2023 20:31,PGD,0.01,15.185,0.336,MSE
2023-12-02 00:48:37,Clean,0.0,33.518,0.928,
2023-12-02 00:58:09,FGSM,0.01,32.862,0.884,
2023-12-02 01:07:39,FGSM,0.03,31.32,0.772,
2023-12-02 01:17:08,FGSM,0.05,29.844,0.669,
2023-12-02 01:26:32,FGSM,0.07,28.548,0.59,
2023-12-02 01:35:55,FGSM,0.09,27.402,0.525,
2023-12-02 02:25:14,PGD,0.01,15.853,0.413,
2023-12-02 03:14:37,PGD,0.03,15.834,0.401,
2023-12-02 04:05:13,PGD,0.05,15.811,0.385,
2023-12-02 04:55:03,PGD,0.07,15.785,0.367,
2023-12-02 05:44:42,PGD,0.09,15.757,0.348,
2023-12-02 20:46:41,Noise,0.1,15.791,0.36,
2023-12-02 20:53:54,Noise,0.2,15.613,0.288,
2023-12-02 21:01:58,Noise,0.25,15.493,0.26,
2023-12-02 21:10:43,Noise,0.5,14.687,0.169,
2023-12-02 21:21:09,Noise,0.8,13.456,0.109,
